City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,usogorsk,63.4106,48.6872,2.67,100,100,3.75,RU,1682351342
1,portland,45.5234,-122.6762,10.6,88,75,3.13,US,1682351215
2,novohrad-volynskyi,50.5941,27.6165,14.27,58,67,4.17,UA,1682351343
3,adamstown,-25.066,-130.1015,24.73,88,98,5.71,PN,1682351343
4,ushuaia,-54.8,-68.3,6.81,76,75,1.54,AR,1682351225
5,la passe,45.5549,-0.8967,16.13,71,98,4.27,FR,1682351343
6,nemuro,43.3236,145.575,2.65,90,17,5.93,JP,1682351344
7,magadan,59.5667,150.8,0.85,77,100,4.47,RU,1682351344
8,mahina,-17.5065,-149.489,24.87,88,75,1.54,PF,1682351344
9,port-aux-francais,-49.35,70.2167,4.0,62,30,8.8,TF,1682351345
10,invercargill,-46.4,168.35,11.68,82,97,0.89,NZ,1682351345
11,ribeira grande,38.5167,-28.7,18.76,88,20,5.36,PT,1682351345
12,west island,-12.1568,96.8225,27.99,74,75,9.26,CC,1682351345
13,gizo,-8.103,156.8419,28.05,75,99,2.62,SB,1682351345
14,aasiaat,68.7098,-52.8699,0.29,94,100,2.36,GL,1682351346
15,lata,40.1629,-8.3327,23.29,49,75,4.87,PT,1682351346
16,waitangi,-43.9535,-176.5597,11.38,58,91,13.58,NZ,1682351346
17,kargasok,59.0556,80.8572,-2.34,73,100,8.83,RU,1682351346
18,las tablas,7.7667,-80.2833,31.76,99,65,3.48,PA,1682351347
19,lagoa da canoa,-9.8297,-36.7378,30.7,42,99,6.18,BR,1682351347
20,grytviken,-54.2811,-36.5092,2.12,80,18,7.64,GS,1682351347
21,blackmans bay,-43.0167,147.3167,11.4,90,33,2.36,AU,1682351348
22,egilsstadir,65.2653,-14.3948,0.95,55,75,5.14,IS,1682351348
23,aylmer,42.7668,-80.983,6.7,57,52,4.93,CA,1682351348
24,mukalla,14.5425,49.1242,27.96,73,25,2.05,YE,1682351349
25,badger,64.8,-147.5333,-11.86,58,20,5.14,US,1682351349
26,utrik,11.2278,169.8474,26.75,83,100,9.35,MH,1682351349
27,iqaluit,63.7506,-68.5145,0.85,93,100,5.14,CA,1682351350
28,nowshahr,36.649,51.496,16.97,94,100,2.06,IR,1682351350
29,jamestown,42.097,-79.2353,6.77,93,100,2.57,US,1682351350
30,brasileia,-11.0161,-68.7481,29.25,74,75,3.09,BR,1682351350
31,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,69,75,2.0,RU,1682351351
32,santa cruz,-17.8,-63.1667,28.03,61,40,4.12,BO,1682351254
